2026-07-01 15:29:21,976 - __main__ - INFO - {'number': 'IPT0020053', 'sys_id': '05ddcce9531410100b39ddeeff7b122c', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020100', 'sys_id': '7540fc29539410100b39ddeeff7b12c5', 'short_description': 'Food and Beverage has an indicator failure\n\t\t', 'issue_type': '', 'description': 'Food and Beverage has an indicator failure on Protect\n\t\t\tdistributed Information Technology assets against theft.\n\t\t'}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020081', 'sys_id': '76235021535410100b39ddeeff7b121c', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020002', 'sys_id': '76e4f3d553d010100b39ddeeff7b1266', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020019', 'sys_id': '79b87f9953d010100b39ddeeff7b1255', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020020', 'sys_id': '7bc8ff9953d010100b39ddeeff7b1287', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020024', 'sys_id': '7e59b7d953d010100b39ddeeff7b1268', 'short_description': 'Issue for event PPI Policy Reporting to FCA\n\t\t', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020060', 'sys_id': '7f1f4c2d531410100b39ddeeff7b120b', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020027', 'sys_id': '850a371d53d010100b39ddeeff7b12ed', 'short_description': 'Issue for event Account Churning\n\t\t', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020001', 'sys_id': '86688425835503107191f896feaad3e4', 'short_description': 'ts', 'issue_type': '7', 'description': 'ts'}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020078', 'sys_id': '8813dced531410100b39ddeeff7b126f', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,980 - __main__ - INFO - {'number': 'IPT0020084', 'sys_id': '8d43d021535410100b39ddeeff7b1299', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,981 - __main__ - INFO - {'number': 'IPT0020062', 'sys_id': '932f006d531410100b39ddeeff7b121d', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,981 - __main__ - INFO - {'number': 'IPT0020067', 'sys_id': '9691546d531410100b39ddeeff7b12b4', 'short_description': 'Issue for event A company director had fraudelent\n\t\t\teducational credentials', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,981 - __main__ - INFO - {'number': 'IPT0020011', 'sys_id': 'a1f5fb1953d010100b39ddeeff7b126c', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,981 - __main__ - INFO - {'number': 'IPT0020070', 'sys_id': 'a3b1d8ad531410100b39ddeeff7b12d8', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,981 - __main__ - INFO - {'number': 'IPT0020101', 'sys_id': 'a3c07469539410100b39ddeeff7b12d7', 'short_description': 'Food and Beverage has an indicator failure\n\t\t', 'issue_type': '', 'description': 'Food and Beverage has an indicator failure on Protect\n\t\t\tphysical assets from water damage.'}
2026-07-01 15:29:21,981 - __main__ - INFO - {'number': 'IPT0020104', 'sys_id': 'a972bca9539410100b39ddeeff7b127a', 'short_description': 'ACME Consumer Durable(CD)ACME CD US has an\n\t\t\tindicator failure', 'issue_type': '', 'description': 'ACME Consumer Durable(CD)ACME CD US has an indicator\n\t\t\tfailure on Intentional Mismarking of Positions / Model Manipulation\n\t\t'}
2026-07-01 15:29:21,981 - __main__ - INFO - {'number': 'IPT0020063', 'sys_id': 'ab3f806d531410100b39ddeeff7b122d', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,981 - __main__ - INFO - {'number': 'IPT0020040', 'sys_id': 'ad2dc8a9531410100b39ddeeff7b12b8', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,981 - __main__ - INFO - {'number': 'IPT0020001', 'sys_id': 'af71f75553d010100b39ddeeff7b12ae', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,981 - __main__ - INFO - {'number': 'IPT0020039', 'sys_id': 'b11d48a9531410100b39ddeeff7b12e0', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,981 - __main__ - INFO - {'number': 'IPT0020091', 'sys_id': 'b493dc21535410100b39ddeeff7b1239', 'short_description': 'Issue for event Mismarking positions leading to\n\t\t\tloss to client', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,981 - __main__ - INFO - {'number': 'IPT0020069', 'sys_id': 'b4b1d8ad531410100b39ddeeff7b125a', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,981 - __main__ - INFO - {'number': 'IPT0020096', 'sys_id': 'b99c6c65539410100b39ddeeff7b12b6', 'short_description': 'ACME Consumer Durable(CD)ACME CD US has an\n\t\t\tindicator failure', 'issue_type': '', 'description': 'ACME Consumer Durable(CD)ACME CD US has an indicator\n\t\t\tfailure on Protect distributed Information Technology assets against\n\t\t\ttheft.\t\t'}
2026-07-01 15:29:21,981 - __main__ - INFO - {'number': 'IPT0020058', 'sys_id': 'c00f0c2d531410100b39ddeeff7b1260', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,981 - __main__ - INFO - {'number': 'IPT0020003', 'sys_id': 'c2057fd553d010100b39ddeeff7b1289', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,982 - __main__ - INFO - {'number': 'IPT0020102', 'sys_id': 'c47130a9539410100b39ddeeff7b12d9', 'short_description': 'ACME CD Europe has an indicator failure\n\t\t', 'issue_type': '', 'description': 'ACME CD Europe has an indicator failure on Loss of\n\t\t\tProductivity'}
2026-07-01 15:29:21,982 - __main__ - INFO - {'number': 'IPT0020095', 'sys_id': 'c78b2c25539410100b39ddeeff7b1286', 'short_description': 'ACME CD Europe has an indicator failure\n\t\t', 'issue_type': '', 'description': 'ACME CD Europe has an indicator failure on Include\n\t\t\tafter-action analysis procedures in the Incident Management program.\n\t\t'}
2026-07-01 15:29:21,982 - __main__ - INFO - {'number': 'IPT0020021', 'sys_id': 'c7d833d953d010100b39ddeeff7b1263', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,984 - __main__ - INFO - {'number': 'IPT0020086', 'sys_id': 'c863d421535410100b39ddeeff7b12ab', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,984 - __main__ - INFO - {'number': 'IPT0020074', 'sys_id': 'c8e218ed531410100b39ddeeff7b12f1', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,984 - __main__ - INFO - {'number': 'IPT0020107', 'sys_id': 'cf93702d539410100b39ddeeff7b1257', 'short_description': 'Fashion has an indicator failure\n\t\t', 'issue_type': '', 'description': 'Fashion has an indicator failure on Internal Fraud\n\t\t'}
2026-07-01 15:29:21,984 - __main__ - INFO - {'number': 'IPT0020065', 'sys_id': 'd24fc06d531410100b39ddeeff7b125b', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,984 - __main__ - INFO - {'number': 'IPT0020090', 'sys_id': 'd383d821535410100b39ddeeff7b12ef', 'short_description': 'Issue for event Overwithdrawl of current account\n\t\t\tleading to large loss', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,984 - __main__ - INFO - {'number': 'IPT0020052', 'sys_id': 'd3cd8ce9531410100b39ddeeff7b123a', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,984 - __main__ - INFO - {'number': 'IPT0020110', 'sys_id': 'd5347c2d539410100b39ddeeff7b12c0', 'short_description': 'Food and Beverage has an indicator failure\n\t\t', 'issue_type': '', 'description': 'Food and Beverage has an indicator failure on Earthquake\n\t\t'}
2026-07-01 15:29:21,984 - __main__ - INFO - {'number': 'IPT0020049', 'sys_id': 'd5ad44e9531410100b39ddeeff7b12bd', 'short_description': 'Issue for event Staff Error - Incorrect Procedure\n\t\t\tFollowed', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,984 - __main__ - INFO - {'number': 'IPT0020055', 'sys_id': 'd7de082d531410100b39ddeeff7b1272', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,985 - __main__ - INFO - {'number': 'IPT0020004', 'sys_id': 'd80e82ee07431010e72bb5100ad30036', 'short_description': '', 'issue_type': '', 'description': 'Dual roles and partial criteria distort competition'}
2026-07-01 15:29:21,985 - __main__ - INFO - {'number': 'IPT0020087', 'sys_id': 'd9631821535410100b39ddeeff7b1207', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,985 - __main__ - INFO - {'number': 'IPT0020108', 'sys_id': 'd9d3b42d539410100b39ddeeff7b12ae', 'short_description': 'Fashion has an indicator failure\n\t\t', 'issue_type': '', 'description': 'Fashion has an indicator failure on Brand Image\n\t\t'}
2026-07-01 15:29:21,985 - __main__ - INFO - {'number': 'IPT0020073', 'sys_id': 'dad258ed531410100b39ddeeff7b121f', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,985 - __main__ - INFO - {'number': 'IPT0020038', 'sys_id': 'df0d84a9531410100b39ddeeff7b12ae', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,985 - __main__ - INFO - {'number': 'IPT0020064', 'sys_id': 'e44f406d531410100b39ddeeff7b12ee', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,985 - __main__ - INFO - {'number': 'IPT0020045', 'sys_id': 'e66d80e9531410100b39ddeeff7b1212', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,985 - __main__ - INFO - {'number': 'IPT0020094', 'sys_id': 'e6a8aca1539410100b39ddeeff7b126a', 'short_description': 'ACME CD Europe has an indicator failure\n\t\t', 'issue_type': '', 'description': 'ACME CD Europe has an indicator failure on Identify and\n\t\t\tauthenticate approved devices before establishing a connection to\n\t\t\trestricted data.'}
2026-07-01 15:29:21,985 - __main__ - INFO - {'number': 'IPT0020050', 'sys_id': 'e7bd48e9531410100b39ddeeff7b1245', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,985 - __main__ - INFO - {'number': 'IPT0020017', 'sys_id': 'eaa8339953d010100b39ddeeff7b1256', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,985 - __main__ - INFO - {'number': 'IPT0020009', 'sys_id': 'eb85371953d010100b39ddeeff7b1297', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,985 - __main__ - INFO - {'number': 'IPT0020010', 'sys_id': 'ef95b71953d010100b39ddeeff7b1201', 'short_description': '', 'issue_type': '', 'description': ''}
2026-07-01 15:29:21,985 - __main__ - INFO - {'number': 'IPT0020009', 'sys_id': 'f1141ea207831010e72bb5100ad300b5', 'short_description': '', 'issue_type': '', 'description': 'Transfer of a policy-maker to business life'}
2026-07-01 15:29:21,985 - __main__ - INFO - {'number': 'IPT0020071', 'sys_id': 'f9c11cad531410100b39ddeeff7b12da', 'short_description': '', 'issue_type': '', 'description': ''}
